빌라,월세(만원),보증금(만원),면적,층,주소,위치
(909-10),80,"4,000",38.05,3,봉천동 909-10,위치보기
동진빌라(180-138),80,"5,000",68.23,4,봉천동 180-138,위치보기
썬휠타워빌B,80,"1,000",45.06,2,봉천동 649-50,위치보기
별비채(960-7),75,"1,000",27.37,4,봉천동 960-7,위치보기
송이빌라나동,65,"7,000",65.68,3,봉천동 148-148,위치보기
플러스타워,65,"1,000",10.5,9,봉천동 884-46,위치보기
(196-90),60,"3,000",33.21,2,봉천동 196-90,위치보기
관악그린빌라,60,"1,000",53.44,1,봉천동 1580-3,위치보기
원일빌,60,"1,000",30.8,-1,봉천동 647-180,위치보기
(893-19),55,"3,000",55.67,1,봉천동 893-19,위치보기
(1644-15),55,"1,000",15.78,3,봉천동 1644-15,위치보기
ESvill,52,"1,000",81.16,3,봉천동 196-126,위치보기
삼화빌리지,50,"20,000",88.92,1,봉천동 903-1,위치보기
E.H.Vill,50,"2,645",15.55,3,봉천동 196-32,위치보기
동성드림빌,50,"9,000",43.22,2,봉천동 647-181,위치보기
(734-16),48,"7,000",24.72,5,봉천동 734-16,위치보기
산우가(1510-43),45,"15,000",50.52,2,봉천동 1510-43,위치보기
CJ아트빌,42,"17,000",27.37,5,봉천동 879-3,위치보기
닷컴그린힐,40,"20,000",35.46,3,봉천동 1559-3,위치보기
아인파크빌,40,"6,000",73.74,3,봉천동 218-25,위치보기
라메르,40,"26,000",29.54,13,봉천동 30-2,위치보기
해오름아트빌,30,"21,000",41.57,4,봉천동 41-37,위치보기
해오름아트빌,30,"21,000",41.57,4,봉천동 41-37,위치보기
블루빌,30,"31,000",51.09,5,봉천동 148-55,위치보기
현빌리지,30,500,47.07,2,봉천동 196-282,위치보기
루나;메이트,30,"17,000",24.66,3,봉천동 947-10,위치보기
현빌리지,30,"1,000",64.62,4,봉천동 196-282,위치보기
새실원룸하우스,20,"8,000",14.02,3,봉천동 1597-31,위치보기
올림프스빌리지,20,"24,000",55.45,1,봉천동 645-58,위치보기
신봉마을I동,20,"22,000",58.86,3,봉천동 885-49,위치보기
월드타워,20,"9,450",10.26,2,봉천동 1645-6,위치보기
루나;메이트,20,"17,000",25.29,2,봉천동 947-10,위치보기
914-2,19,"23,000",28.38,5,봉천동 914-2,위치보기
(148-41),18,"5,000",18.9,1,봉천동 148-41,위치보기
월드타워,16,"10,000",14.43,2,봉천동 1645-6,위치보기
심지(457-115),15,"21,000",28.75,7,봉천동 457-115,위치보기
청도맨션,15,"12,000",34.83,3,봉천동 715-5,위치보기
(713-101),14,"10,000",14.57,4,봉천동 713-101,위치보기
더좋은집,12,"23,800",35.78,5,봉천동 180-243,위치보기
삼일빌라,10,"12,500",45.29,1,봉천동 1579-23,위치보기
한성빌라,10,"13,000",40.65,3,봉천동 100-256,위치보기
KS타워,9,"20,000",24.3,7,봉천동 912-1,위치보기
CSstay(854-4),5,"19,000",23.58,15,봉천동 854-4,위치보기
그레이빌,5,"22,950",24.26,5,봉천동 895-9,위치보기
(1613-6),4,"13,000",29.56,2,봉천동 1613-6,위치보기
